"playerID","rank","points","first","last","dob","country"
104925,1,13630,"Novak","Djokovic",19870522,"SRB"
104745,2,9595,"Rafael","Nadal",19860603,"ESP"
103819,3,8170,"Roger","Federer",19810808,"SUI"
104918,4,7380,"Andy","Murray",19870515,"GBR"
103970,5,4925,"David","Ferrer",19820402,"ESP"
104542,6,4335,"Jo Wilfried","Tsonga",19850417,"FRA"
104607,7,3700,"Tomas","Berdych",19850917,"CZE"
103888,8,2965,"Mardy","Fish",19811209,"USA"
104386,9,2595,"Janko","Tipsarevic",19840622,"SRB"
104597,10,2380,"Nicolas","Almagro",19850821,"ESP"
105223,11,2315,"Juan Martin","Del Potro",19880923,"ARG"
104468,12,2165,"Gilles","Simon",19841227,"FRA"
104417,13,2120,"Robin","Soderling",19840814,"SWE"
104053,14,1940,"Andy","Roddick",19820830,"USA"
105238,15,1925,"Alexandr","Dolgopolov",19881107,"UKR"
104792,16,1910,"Gael","Monfils",19860901,"FRA"
104527,17,1820,"Stanislas","Wawrinka",19850328,"SUI"
104545,18,1800,"John","Isner",19850426,"USA"
104755,19,1765,"Richard","Gasquet",19860618,"FRA"
103852,20,1755,"Feliciano","Lopez",19810920,"ESP"
105227,21,1665,"Marin","Cilic",19880928,"CRO"
104678,22,1655,"Viktor","Troicki",19860210,"SRB"
104252,23,1630,"Florian","Mayer",19831005,"GER"
104269,24,1550,"Fernando","Verdasco",19831115,"ESP"
105453,25,1430,"Kei","Nishikori",19891229,"JPN"
104338,26,1335,"Juan","Monaco",19840329,"ARG"
104719,27,1335,"Marcel","Granollers",19860412,"ESP"
103285,28,1275,"Radek","Stepanek",19781127,"CZE"
103428,29,1270,"Juan Ignacio","Chela",19790830,"ARG"
103344,30,1270,"Ivan","Ljubicic",19790319,"CRO"
105683,31,1255,"Milos","Raonic",19901227,"CAN"
104731,32,1235,"Kevin","Anderson",19860518,"RSA"
103781,33,1170,"Jurgen","Melzer",19810522,"AUT"
104166,34,1135,"Alex","Bogomolov Jr",19830423,"RUS"
104022,35,1105,"Mikhail","Youzhny",19820625,"RUS"
104471,36,1065,"Ivan","Dodig",19850102,"CRO"
105064,37,1060,"Thomaz","Bellucci",19871230,"BRA"
104312,38,1015,"Andreas","Seppi",19840221,"ITA"
105385,39,1004,"Donald","Young",19890723,"USA"
104098,40,988,"Dmitry","Tursunov",19821212,"RUS"
103786,41,980,"Nikolay","Davydenko",19810602,"RUS"
106071,42,970,"Bernard","Tomic",19921021,"AUS"
104259,43,960,"Philipp","Kohlschreiber",19831016,"GER"
104571,44,940,"Marcos","Baghdatis",19850617,"CYP"
104898,45,926,"Robin","Haase",19870406,"NED"
104665,46,920,"Pablo","Andujar",19860123,"ESP"
103566,47,915,"Michael","Llodra",19800518,"FRA"
104926,48,915,"Fabio","Fognini",19870524,"ITA"
103598,49,910,"Xavier","Malisse",19800719,"BEL"
103507,50,910,"Juan Carlos","Ferrero",19800212,"ESP"
103990,51,905,"Tommy","Robredo",19820501,"ESP"
103898,52,900,"Julien","Benneteau",19811220,"FRA"
103656,53,895,"Albert","Montanes",19801126,"ESP"
104180,54,893,"Gilles","Muller",19830509,"LUX"
105053,55,890,"Santiago","Giraldo",19871127,"COL"
103333,56,867,"Ivo","Karlovic",19790228,"CRO"
103997,57,828,"Lukasz","Kubot",19820516,"POL"
103808,58,825,"Potito","Starace",19810714,"ITA"
103484,59,819,"James","Blake",19791228,"USA"
104122,60,801,"Carlos","Berlocq",19830203,"ARG"
105208,61,785,"Ernests","Gulbis",19880830,"LAT"
104660,62,780,"Sergiy","Stakhovsky",19860106,"UKR"
104332,63,780,"Philipp","Petzschner",19840324,"GER"
103900,64,760,"David","Nalbandian",19820101,"ARG"
104198,65,755,"Guillermo","Garcia Lopez",19830604,"ESP"
105077,66,709,"Albert","Ramos",19880117,"ESP"
103694,67,704,"Olivier","Rochus",19810118,"BEL"
104349,68,698,"Rui","Machado",19840410,"POR"
103835,69,696,"Filippo","Volandri",19810905,"ITA"
