"tourney_name","surface","tourney_level","match_num","winner_id","winner_ioc"
"Washington","Hard","A",1,103888,"USA"
"Washington","Hard","A",2,105575,"LTU"
"Washington","Hard","A",3,103598,"BEL"
"Washington","Hard","A",4,104871,"FRA"
"Washington","Hard","A",5,103163,"GER"
"Washington","Hard","A",6,104919,"ARG"
"Washington","Hard","A",7,104594,"AUS"
"Washington","Hard","A",8,104735,"GER"
"Washington","Hard","A",9,105023,"USA"
"Washington","Hard","A",10,103794,"GER"
"Washington","Hard","A",11,103722,"FRA"
"Washington","Hard","A",12,104731,"RSA"
"Washington","Hard","A",13,103484,"USA"
"Washington","Hard","A",14,103843,"SUI"
"Washington","Hard","A",15,103105,"ESP"
"Washington","Hard","A",16,105238,"UKR"
"Washington","Hard","A",17,103888,"USA"
"Washington","Hard","A",18,103598,"BEL"
"Washington","Hard","A",19,103163,"GER"
"Washington","Hard","A",20,104735,"GER"
"Washington","Hard","A",21,105023,"USA"
"Washington","Hard","A",22,104731,"RSA"
"Washington","Hard","A",23,103484,"USA"
"Washington","Hard","A",24,105238,"UKR"
"Washington","Hard","A",25,103888,"USA"
"Washington","Hard","A",26,103163,"GER"
"Washington","Hard","A",27,105023,"USA"
"Washington","Hard","A",28,105238,"UKR"
"Washington","Hard","A",29,103163,"GER"
"Washington","Hard","A",30,105238,"UKR"
"Washington","Hard","A",31,105238,"UKR"
"Umag","Clay","A",1,105208,"LAT"
"Umag","Clay","A",2,105723,"RUS"
"Umag","Clay","A",3,106207,"CRO"
"Umag","Clay","A",4,103808,"ITA"
"Umag","Clay","A",5,104897,"GER"
"Umag","Clay","A",6,105373,"SVK"
"Umag","Clay","A",7,104122,"ARG"
"Umag","Clay","A",8,105477,"ARG"
"Umag","Clay","A",9,104926,"ITA"
"Umag","Clay","A",10,104639,"USA"
"Umag","Clay","A",11,104882,"SLO"
"Umag","Clay","A",12,104978,"GER"
"Umag","Clay","A",13,104269,"ESP"
"Umag","Clay","A",14,105723,"RUS"
"Umag","Clay","A",15,104719,"ESP"
"Umag","Clay","A",16,104897,"GER"
"Umag","Clay","A",17,104122,"ARG"
"Umag","Clay","A",18,105238,"UKR"
"Umag","Clay","A",19,104639,"USA"
"Umag","Clay","A",20,105227,"CRO"
"Umag","Clay","A",21,104269,"ESP"
"Umag","Clay","A",22,104719,"ESP"
"Umag","Clay","A",23,105238,"UKR"
"Umag","Clay","A",24,105227,"CRO"
"Umag","Clay","A",25,104719,"ESP"
"Umag","Clay","A",26,105227,"CRO"
"Umag","Clay","A",27,105227,"CRO"
