"tourney_name","surface","tourney_level","match_num","winner_id","winner_name","winner_ioc","winner_age","loser_id","loser_name","loser_ioc","loser_age"
"Auckland","Hard","A",1,105385,"Donald Young","USA",24.4572210815,105643,"Federico Delbonis","ARG",23.2553045859
"Auckland","Hard","A",2,105053,"Santiago Giraldo","COL",26.1108829569,103656,"Albert Montanes","ESP",33.1115674196
"Auckland","Hard","A",3,104198,"Guillermo Garcia Lopez","ESP",30.5927446954,104898,"Robin Haase","NED",26.7542778919
"Auckland","Hard","A",4,105449,"Steve Johnson","USA",24.0355920602,104571,"Marcos Baghdatis","CYP",28.5557837098
"Auckland","Hard","A",5,104229,"Yen Hsun Lu","TPE",30.3983572895,104997,"Igor Sijsling","NED",26.3874058864
"Auckland","Hard","A",6,105614,"Bradley Klahn","USA",23.3812457221,104978,"Daniel Brands","GER",26.4750171116
"Auckland","Hard","A",7,104259,"Philipp Kohlschreiber","GER",30.2258726899,105807,"Pablo Carreno Busta","ESP",22.4887063655
"Auckland","Hard","A",8,104547,"Horacio Zeballos","ARG",28.6954140999,103835,"Filippo Volandri","ITA",32.3367556468
"Auckland","Hard","A",9,105041,"Lukas Lacko","SVK",26.1765913758,104907,"Jose Rubin Statham","NZL",26.7022587269
"Auckland","Hard","A",10,105332,"Benoit Paire","FRA",24.6652977413,104308,"Michal Przysiezny","POL",29.8891170431
"Auckland","Hard","A",11,105138,"Roberto Bautista Agut","ESP",25.7303216975,104593,"Daniel Gimeno Traver","ESP",28.4161533196
"Auckland","Hard","A",12,106058,"Jack Sock","USA",21.2840520192,105173,"Adrian Mannarino","FRA",25.5222450376
"Auckland","Hard","A",13,103970,"David Ferrer","ESP",31.7645448323,105385,"Donald Young","USA",24.4572210815
"Auckland","Hard","A",14,104198,"Guillermo Garcia Lopez","ESP",30.5927446954,105053,"Santiago Giraldo","COL",26.1108829569
"Auckland","Hard","A",15,105449,"Steve Johnson","USA",24.0355920602,104731,"Kevin Anderson","RSA",27.6386036961
"Auckland","Hard","A",16,104229,"Yen Hsun Lu","TPE",30.3983572895,105614,"Bradley Klahn","USA",23.3812457221
"Auckland","Hard","A",17,104259,"Philipp Kohlschreiber","GER",30.2258726899,104547,"Horacio Zeballos","ARG",28.6954140999
"Auckland","Hard","A",18,104545,"John Isner","USA",28.6981519507,105041,"Lukas Lacko","SVK",26.1765913758
"Auckland","Hard","A",19,105138,"Roberto Bautista Agut","ESP",25.7303216975,105332,"Benoit Paire","FRA",24.6652977413
"Auckland","Hard","A",20,106058,"Jack Sock","USA",21.2840520192,103163,"Tommy Haas","GER",35.7618069815
"Auckland","Hard","A",21,103970,"David Ferrer","ESP",31.7645448323,104198,"Guillermo Garcia Lopez","ESP",30.5927446954
"Auckland","Hard","A",22,104229,"Yen Hsun Lu","TPE",30.3983572895,105449,"Steve Johnson","USA",24.0355920602
"Auckland","Hard","A",23,104545,"John Isner","USA",28.6981519507,104259,"Philipp Kohlschreiber","GER",30.2258726899
"Auckland","Hard","A",24,105138,"Roberto Bautista Agut","ESP",25.7303216975,106058,"Jack Sock","USA",21.2840520192
"Auckland","Hard","A",25,104229,"Yen Hsun Lu","TPE",30.3983572895,103970,"David Ferrer","ESP",31.7645448323
"Auckland","Hard","A",26,104545,"John Isner","USA",28.6981519507,105138,"Roberto Bautista Agut","ESP",25.7303216975
"Auckland","Hard","A",27,104545,"John Isner","USA",28.6981519507,104229,"Yen Hsun Lu","TPE",30.3983572895
"Miami Masters","Hard","M",1,103720,"Lleyton Hewitt","AUS",33.0568104038,104898,"Robin Haase","NED",26.945927447
"Miami Masters","Hard","M",2,104797,"Denis Istomin","UZB",27.523613963,103917,"Nicolas Mahut","FRA",32.1505817933
"Miami Masters","Hard","M",3,105138,"Roberto Bautista Agut","ESP",25.9219712526,105449,"Steve Johnson","USA",24.2272416153
"Miami Masters","Hard","M",4,105041,"Lukas Lacko","SVK",26.3682409309,104932,"Kenny De Schepper","FRA",26.8008213552
"Miami Masters","Hard","M",5,106058,"Jack Sock","USA",21.4757015743,105550,"Guido Pella","ARG",23.832991102
"Miami Masters","Hard","M",6,104198,"Guillermo Garcia Lopez","ESP",30.7843942505,105614,"Bradley Klahn","USA",23.5728952772
"Miami Masters","Hard","M",7,105379,"Aljaz Bedene","SLO",24.6625598905,104499,"Jimmy Wang","TPE",29.1006160164
"Miami Masters","Hard","M",8,105992,"Ryan Harrison","USA",21.8590006845,105643,"Federico Delbonis","ARG",23.446954141
